Layers,Neurons,batch,optimiser,keras,epochs,dropout,train %,activation,RMSE,VAL_RMSE,Objective,mae,val_mae,R2,R2_v,final
2,"(14, 7)",10,Adam,normal,150,0.1,0.05,elu,0.309284992,0.573279382,0.558717813,0.32107353,0.4021318,0.904342793,0.535450358,0.719896576
1,8,10,Adam,normal,150,0,0.05,elu,0.351755624,0.554917807,0.546663285,0.26168746,0.37262312,0.876267981,0.561279815,0.718773898
4,"(6, 16, 18, 13)",10,Adam,uniform,200,0.1,0.05,elu,0.332721384,0.525940334,0.570669141,0.31957358,0.36937168,0.889296481,0.547687983,0.718492232
1,16,10,Adam,uniform,150,0,0.05,elu,0.26703216,0.593671916,0.569647962,0.17517085,0.3712489,0.928693825,0.507467185,0.718080505
1,17,10,RMSprop,normal,100,0.1,0.05,elu,0.423910972,0.566969922,0.504559553,0.35518366,0.3942501,0.820299488,0.61484699,0.717573239
1,16,10,Adam,uniform,200,0,0.25,tanh,0.181534186,0.783944502,0.517260656,0.12239951,0.6238183,0.967045339,0.467780374,0.717412857
1,16,10,Adam,uniform,200,0,0.25,tanh,0.141508734,0.791706097,0.533392584,0.10202502,0.620799,0.979975278,0.454638799,0.717307039
2,"(20, 7)",10,RMSprop,uniform,150,0,0.05,elu,0.304489314,0.525206322,0.585152182,0.24001798,0.34897316,0.907286257,0.52571466,0.716500459
3,"(7, 7, 13)",10,Adam,uniform,150,0,0.05,elu,0.317105638,0.619871273,0.531511544,0.24727309,0.40080458,0.899444014,0.533312529,0.716378272
2,"(16, 12)",10,Adam,uniform,100,0.1,0.05,elu,0.338917445,0.488279871,0.586401342,0.31496787,0.35018235,0.885134965,0.547023429,0.716079197
1,16,25,RMSprop,normal,200,0.4,0.05,elu,0.451782037,0.613799214,0.467209375,0.4237858,0.40739632,0.795892991,0.636144851,0.716018921
1,17,10,Adam,normal,200,0.3,0.3,elu,0.318726753,0.802125136,0.439574056,0.3623532,0.5737658,0.898413257,0.530626256,0.714519756
2,"(16, 12)",10,Adam,normal,200,0,0.25,elu,0.184897946,0.781439477,0.516831288,0.13350128,0.58242655,0.965812749,0.46202491,0.71391883
1,7,10,Adam,uniform,200,0.2,0.25,elu,0.333978353,0.732857712,0.466581967,0.379575,0.54824156,0.888458459,0.537663944,0.713061202
2,"(16, 12)",10,Adam,uniform,200,0,0.05,elu,0.185946919,0.605258088,0.604397496,0.14561965,0.4049585,0.965423743,0.459190001,0.712306872
1,16,10,Adam,uniform,200,0,0.05,elu,0.21253667,0.544941263,0.621261034,0.1723237,0.39554167,0.954828164,0.468757971,0.711793067
2,"(16, 12)",10,Adam,uniform,150,0.1,0.25,tanh,0.280755654,0.753718796,0.482762775,0.30575156,0.5697651,0.921176263,0.502064815,0.711620539
2,"(11, 15)",10,Adam,normal,150,0.1,0.3,tanh,0.37660937,0.769479304,0.426955663,0.33877298,0.59441,0.858165382,0.563064636,0.710615009
3,"(16, 15, 20)",10,Adam,uniform,200,0.1,0.2,tanh,0.336000093,0.710393667,0.47680312,0.2990576,0.59435475,0.887103937,0.532817292,0.709960615
1,6,10,Adam,normal,150,0.2,0.05,elu,0.423146277,0.586240247,0.495306738,0.38172498,0.42283806,0.820947228,0.597206562,0.709076895
2,"(17, 20)",10,RMSprop,uniform,150,0.1,0.25,tanh,0.307404635,0.747003908,0.472795728,0.3327726,0.58292586,0.90550239,0.512587457,0.709044924
2,"(18, 14)",10,Adam,normal,200,0.4,0.05,elu,0.394157351,0.581162953,0.512339848,0.38502938,0.43158728,0.844639983,0.57235586,0.708497922
1,10,10,Adam,normal,200,0.2,0.25,tanh,0.344579204,0.734197173,0.460611812,0.35158756,0.57958037,0.881265172,0.53534333,0.708304251
